OID_,type,subtype,curb_id,dist_s_m,dist_e_m
828,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0MzIw,42.9199982,52.0900002
829,Bulbout, ,cGhpbGFkZWxwaGlhOjI0MzIw,74.8700027,106.3700027
830,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjI0NTM0,0.0000000,41.5497017
831,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0NTQw,33.4199982,41.7900009
832,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0NTQw,77.6500015,84.4199982
833,Bulbout, ,cGhpbGFkZWxwaGlhOjI0NTQw,90.8300018,106.2500000
834,Bulbout, ,cGhpbGFkZWxwaGlhOjI0NTQx,31.9300003,35.2999992
835,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0NTQx,35.2999992,51.2500000
836,Smart Zone, ,cGhpbGFkZWxwaGlhOjI0NTQy,8.1899996,37.9900017
837,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI0NjMy,73.0100021,102.8000031
838,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0NjM0,34.7999992,41.9900017
839,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjI0NjM2,3.4500000,3.7100000
840,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0NjM2,3.7100000,11.9200001
841,Curb Cut, ,cGhpbGFkZWxwaGlhOjI0NjM3,46.2099991,56.0600014
842,No-Parking Curb, ,cGhpbGFkZWxwaGlhOjI3Nzkx,0.0000000,109.7289963
843,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzky,54.1599998,58.5400009
844,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzky,62.6599998,72.4400024
845,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI3Nzky,72.4400024,82.4499969
846,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzky,82.4499969,88.5000000
847,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI3Nzky,88.5000000,95.8099976
848,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzkz,51.3400002,53.8899994
849,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzk2,23.3299999,30.1499996
850,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI3Nzk4,11.0299997,48.0400009
851,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzk4,53.2500000,60.2799988
852,Bulbout, ,cGhpbGFkZWxwaGlhOjI3Nzk4,60.2799988,62.3699989
853,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI3Nzk4,62.3699989,109.4700012
854,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI3Nzk5,2.9400001,4.4400001
855,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjI3Nzk5,4.4400001,4.8600001
856,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3Nzk5,4.8600001,15.5400000
857,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjI3Nzk5,15.5400000,15.7600002
858,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI3Nzk5,15.7600002,45.0999985
859,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjI3ODAw,42.5099983,42.6100006
860,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3ODAw,42.6100006,48.7200012
861,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjI3ODAw,48.7200012,49.5600014
862,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3ODAy,49.6800003,55.8899994
863,Curb Cut, ,cGhpbGFkZWxwaGlhOjI3ODAy,56.9799995,67.1399994
864,Curb Cut, ,cGhpbGFkZWxwaGlhOjI4NjM1,60.0400009,71.0299988
865,Curb Cut, ,cGhpbGFkZWxwaGlhOjI4NjM1,114.0299988,128.7299957
866,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI4NjM1,136.2599945,146.6000061
867,Curb Cut, ,cGhpbGFkZWxwaGlhOjI4NjM1,146.6000061,150.6499939
868,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjI4NjM1,150.6499939,162.5200043
869,Construction Zone, ,cGhpbGFkZWxwaGlhOjI4NjM2,0.5400000,11.2399998
870,Construction Zone, ,cGhpbGFkZWxwaGlhOjI4NjM2,11.9899998,220.5500031
871,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNTc2,12.9700003,21.7299995
872,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNTg2,37.4199982,41.0600014
873,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNTk0,28.0799999,34.2099991
874,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjMwNTk1,16.6800003,16.8999996
875,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNTk1,16.8999996,26.8700008
876,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjMwNTk1,26.8700008,27.4799995
877,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjMwNTk2,20.8099995,34.9399986
878,Construction Zone, ,cGhpbGFkZWxwaGlhOjMwNTk3,0.0000000,31.4300003
879,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNTk3,31.6200008,38.3699989
880,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjMwNTk3,38.3699989,41.5400009
881,Curb Cut, ,cGhpbGFkZWxwaGlhOjMwNjAx,29.2099991,35.7099991
