OID_,subtype,curb_id,txt_failed,txt,img_urls,arrows,type,symbols,dist_m,facing,
7890, ,cGhpbGFkZWxwaGlhOjMwNjA1,F, ,"https://api.coord.com/surveyor/photo/356941, https://api.coord.com/surveyor/photo/356155", ,ADA Curb Ramp, ,128.2899933, ,
7891, ,cGhpbGFkZWxwaGlhOjMwNjA2,F, ,"https://api.coord.com/surveyor/photo/356942, https://api.coord.com/surveyor/photo/356156", ,ADA Curb Ramp, ,0.28, ,
7901, ,cGhpbGFkZWxwaGlhOjMwNjA2,F, ,"https://api.coord.com/surveyor/photo/356948, https://api.coord.com/surveyor/photo/356160", ,Hydrant, ,68.8700027, ,
7912, ,cGhpbGFkZWxwaGlhOjMwNjA3,F, ,"https://api.coord.com/surveyor/photo/371039, https://api.coord.com/surveyor/photo/362049", ,ADA Curb Ramp, ,0.94, ,
7920, ,cGhpbGFkZWxwaGlhOjMwNjA3,F, ,"https://api.coord.com/surveyor/photo/371047, https://api.coord.com/surveyor/photo/362069", ,Hydrant, ,159.6199951, ,
7924, ,cGhpbGFkZWxwaGlhOjMwNjA4,F, ,"https://api.coord.com/surveyor/photo/371048, https://api.coord.com/surveyor/photo/362071", ,Hydrant, ,6.46, ,
7937, ,cGhpbGFkZWxwaGlhOjMwNjA4,F, ,"https://api.coord.com/surveyor/photo/371055, https://api.coord.com/surveyor/photo/362089", ,ADA Curb Ramp, ,129.0700073, ,
7969, ,cGhpbGFkZWxwaGlhOjMwNjEz,F, ,https://api.coord.com/surveyor/photo/373471, ,ADA Curb Ramp, ,0, ,
7970, ,cGhpbGFkZWxwaGlhOjMwNjEz,F, ,https://api.coord.com/surveyor/photo/373472, ,Hydrant, ,39.7099991, ,
7972, ,cGhpbGFkZWxwaGlhOjMwNjE0,F, ,"https://api.coord.com/surveyor/photo/374684, https://api.coord.com/surveyor/photo/373474", ,ADA Curb Ramp, ,0, ,
7973, ,cGhpbGFkZWxwaGlhOjMwNjE0,F, ,"https://api.coord.com/surveyor/photo/374685, https://api.coord.com/surveyor/photo/373475", ,Hydrant, ,2.46, ,
7977, ,cGhpbGFkZWxwaGlhOjMwNjE2,F, ,https://api.coord.com/surveyor/photo/374688, ,Hydrant, ,59.7099991, ,
7978, ,cGhpbGFkZWxwaGlhOjMwNjE2,F, ,https://api.coord.com/surveyor/photo/374689, ,ADA Curb Ramp, ,65.9700012, ,
7979, ,cGhpbGFkZWxwaGlhOjMwNjE3,F, ,https://api.coord.com/surveyor/photo/373480, ,ADA Curb Ramp, ,0, ,
7980, ,cGhpbGFkZWxwaGlhOjMwNjE3,F, ,https://api.coord.com/surveyor/photo/373481, ,Hydrant, ,61.5400009, ,
7983, ,cGhpbGFkZWxwaGlhOjMwNjE3,F, ,https://api.coord.com/surveyor/photo/373484, ,Hydrant, ,122.6699982, ,
7984, ,cGhpbGFkZWxwaGlhOjMwNjE3,F, ,https://api.coord.com/surveyor/photo/373485, ,Hydrant, ,125.1999969, ,
7985, ,cGhpbGFkZWxwaGlhOjMwNjE3,F, ,https://api.coord.com/surveyor/photo/373486, ,ADA Curb Ramp, ,129.3200073, ,
7989, ,cGhpbGFkZWxwaGlhOjMwNjE4,F, ,https://api.coord.com/surveyor/photo/373490, ,Hydrant, ,125.0400009, ,
7990, ,cGhpbGFkZWxwaGlhOjMwNjE4,F, ,https://api.coord.com/surveyor/photo/373491, ,ADA Curb Ramp, ,129.9100037, ,
7991, ,cGhpbGFkZWxwaGlhOjMwNjE4,F, ,https://api.coord.com/surveyor/photo/374690, ,ADA Curb Ramp, ,0, ,
7993, ,cGhpbGFkZWxwaGlhOjMwNjIw,F, ,https://api.coord.com/surveyor/photo/374699, ,ADA Curb Ramp, ,0, ,
7994, ,cGhpbGFkZWxwaGlhOjMwNjIw,F, ,https://api.coord.com/surveyor/photo/374700, ,Hydrant, ,2.8, ,
7997, ,cGhpbGFkZWxwaGlhOjMwNjIw,F, ,https://api.coord.com/surveyor/photo/374702, ,Hydrant, ,123.7099991, ,
7998, ,cGhpbGFkZWxwaGlhOjMwNjIw,F, ,https://api.coord.com/surveyor/photo/374703, ,ADA Curb Ramp, ,127.9400024, ,
7999, ,cGhpbGFkZWxwaGlhOjMwNjIx,F, ,"https://api.coord.com/surveyor/photo/374704, https://api.coord.com/surveyor/photo/373501", ,ADA Curb Ramp, ,0, ,
8001, ,cGhpbGFkZWxwaGlhOjMwNjIx,F, ,"https://api.coord.com/surveyor/photo/374706, https://api.coord.com/surveyor/photo/373503", ,Hydrant, ,126.3300018, ,
8002, ,cGhpbGFkZWxwaGlhOjMwNjIx,F, ,"https://api.coord.com/surveyor/photo/374707, https://api.coord.com/surveyor/photo/373504", ,ADA Curb Ramp, ,129.7200012, ,
8003, ,cGhpbGFkZWxwaGlhOjMwNjIz,F, ,"https://api.coord.com/surveyor/photo/365781, https://api.coord.com/surveyor/photo/366619", ,Hydrant, ,1.71, ,
8004, ,cGhpbGFkZWxwaGlhOjMwNjIz,F, ,https://api.coord.com/surveyor/photo/365782, ,ADA Curb Ramp, ,27.5200005, ,
8008, ,cGhpbGFkZWxwaGlhOjMwNjIz,F, ,"https://api.coord.com/surveyor/photo/365785, https://api.coord.com/surveyor/photo/366622", ,Hydrant, ,46.2799988, ,
8009, ,cGhpbGFkZWxwaGlhOjMwNjIz,F, ,"https://api.coord.com/surveyor/photo/365786, https://api.coord.com/surveyor/photo/366624", ,ADA Curb Ramp, ,57.3199997, ,
8010, ,cGhpbGFkZWxwaGlhOjMwNjI0,F, ,https://api.coord.com/surveyor/photo/366626, ,ADA Curb Ramp, ,0, ,
8012, ,cGhpbGFkZWxwaGlhOjMwNjI0,F, ,https://api.coord.com/surveyor/photo/365789, ,Hydrant, ,57.3800011, ,
8013, ,cGhpbGFkZWxwaGlhOjMwNjI1,F, ,https://api.coord.com/surveyor/photo/365790, ,ADA Curb Ramp, ,0, ,
8018, ,cGhpbGFkZWxwaGlhOjMwNjI1,F, ,"https://api.coord.com/surveyor/photo/365793, https://api.coord.com/surveyor/photo/366635", ,ADA Curb Ramp, ,60.5600014, ,
8019, ,cGhpbGFkZWxwaGlhOjMwNjI2,F, ,https://api.coord.com/surveyor/photo/366638, ,ADA Curb Ramp, ,0.11, ,
8022, ,cGhpbGFkZWxwaGlhOjMwNjI2,F, ,https://api.coord.com/surveyor/photo/365798, ,Hydrant, ,57.1199989, ,
8023, ,cGhpbGFkZWxwaGlhOjMwNjI2,F, ,https://api.coord.com/surveyor/photo/365799, ,ADA Curb Ramp, ,61.25, ,
8028, ,cGhpbGFkZWxwaGlhOjMwNjI3,F, ,"https://api.coord.com/surveyor/photo/365802, https://api.coord.com/surveyor/photo/366653", ,ADA Curb Ramp, ,61.9399986, ,
8029, ,cGhpbGFkZWxwaGlhOjMwNjI4,F, ,https://api.coord.com/surveyor/photo/360615, ,ADA Curb Ramp, ,0, ,
8031, ,cGhpbGFkZWxwaGlhOjMwNjI4,F, ,https://api.coord.com/surveyor/photo/360617, ,Hydrant, ,4.6900001, ,
8032, ,cGhpbGFkZWxwaGlhOjMwNjI4,F, ,https://api.coord.com/surveyor/photo/360619, ,ADA Curb Ramp, ,59.6300011, ,
8034, ,cGhpbGFkZWxwaGlhOjMwNjI5,F, ,https://api.coord.com/surveyor/photo/360620, ,ADA Curb Ramp, ,0, ,
8037, ,cGhpbGFkZWxwaGlhOjMwNjI5,F, ,https://api.coord.com/surveyor/photo/376912, ,ADA Curb Ramp, ,63.0200005, ,
8038, ,cGhpbGFkZWxwaGlhOjMwNjMw,F, ,https://api.coord.com/surveyor/photo/365803, ,ADA Curb Ramp, ,0.01, ,
8041, ,cGhpbGFkZWxwaGlhOjMwNjMw,F, ,https://api.coord.com/surveyor/photo/365805, ,ADA Curb Ramp, ,58.8199997, ,
8042, ,cGhpbGFkZWxwaGlhOjMwNjMx,F, ,https://api.coord.com/surveyor/photo/365806, ,ADA Curb Ramp, ,0, ,
8044, ,cGhpbGFkZWxwaGlhOjMwNjMx,F, ,https://api.coord.com/surveyor/photo/365810, ,Hydrant, ,51.8800011, ,
8047, ,cGhpbGFkZWxwaGlhOjMwNjMx,F, ,https://api.coord.com/surveyor/photo/376921, ,ADA Curb Ramp, ,58.9399986, ,
8050, ,cGhpbGFkZWxwaGlhOjMwNjMy,F, ,https://api.coord.com/surveyor/photo/365814, ,ADA Curb Ramp, ,81.2300034, ,
8051, ,cGhpbGFkZWxwaGlhOjMwNjMy,F, ,https://api.coord.com/surveyor/photo/376923, ,ADA Curb Ramp, ,0.66, ,
8052, ,cGhpbGFkZWxwaGlhOjMwNjMz,F, ,https://api.coord.com/surveyor/photo/365815, ,ADA Curb Ramp, ,0, ,
8054, ,cGhpbGFkZWxwaGlhOjMwNjMz,F, ,https://api.coord.com/surveyor/photo/365817, ,ADA Curb Ramp, ,31.9200001, ,
8055, ,cGhpbGFkZWxwaGlhOjMwNjM0,F, ,https://api.coord.com/surveyor/photo/365818, ,ADA Curb Ramp, ,0, ,
8058, ,cGhpbGFkZWxwaGlhOjMwNjM0,F, ,https://api.coord.com/surveyor/photo/365822, ,ADA Curb Ramp, ,43.9099998, ,
8059, ,cGhpbGFkZWxwaGlhOjMwNjM0,F, ,https://api.coord.com/surveyor/photo/376928, ,Hydrant, ,0.74, ,
